,Publisher
2350,Brown  Benchmark
2351,Brown Bear Books
2352,Brown Bear Press
2353,Brown Book Co
2354,Brown Books
2355,Brown Wells and Jacobs
2356,BrownHerron
2357,Browndeer Press
2358,Brownlow Pub Co
2359,Brownlow Publishing Company
2360,Browntrout Pub
2361,Browntrout Publishers
2362,Bruce Sims Books
2363,Bruckmann
2364,Bruguera
2365,Bruguera Alfaguara
2366,Bruguera [etc.]
2367,"Bruguera, S.A."
2368,"Brunnen-Verlag, GieÃ?Â?en"
2369,Brunner-Routledge
2370,Brunner/Mazel Publisher
2371,Bruno Gmunder Verlag GmbH
2372,Bruno Gmunder Verlag Gmbh
2373,Brunswick Galaxy Press
2374,Bruo
2375,Bryan Acker
2376,Bryce-Waterton Publications
2377,Bt Bound
2378,Btb Bei Goldmann
2379,Buccaneer Books
2380,Buccaneer Books Inc
2381,Buchan  Enright
2382,Buchanan Resources
2383,Bucher
2384,Buchet - Chastel
2385,Buchet Chastel
2386,Buchner
2387,Buckland Publications
2388,Bud Fair Barbershop Books
2389,Buddha Rock Press
2390,Buddhist Text Translation Society Ersity Dhar
2391,Budget
2392,Bueno Books
2393,Bufflehead Books  Prints
2394,Bulaaq
2395,Bulfinch
2396,Bulfinch Press
2397,Bull Publishing Company
2398,Bull's Eye Publishing
2399,Bullet Press
2400,Bullseye Books
2401,Bumblebee Books
2402,Bumpy Slide Books
2403,Bunbury Books
2404,Bund-Verlag
2405,Bundeszentrale fÃ¼r Politische Bildung
2406,Bungalo Books
2407,Buntbuch-Verlag
2408,Burd Street Press
2409,Burford Books
2410,Burgess Print. Co.
2411,Burgess Pub. Co
2412,Burke
2413,Burke Pub. Co
2414,Burnett Books
2415,Burnham Inc Pub
2416,Burns  MacEachern
2417,Burns and MacEachern
2418,Burroughs Books
2419,Burt Creations
2420,Burt Franklin
2421,Buschekbooks
2422,Business  Professional Publishing
2423,Business Education Publishers
2424,Business Publications
2425,BussiÃ?Â¨re
2426,Butler House Publications
2427,Butler Publishing
2428,Butte Publications
2429,Butterfield Books
2430,Butterfingers
2431,Butterfly and Bear Press
2432,Butterick Company
2433,Butterick Pub
2434,Butterscotch Mammoth
2435,Butterworth Pub Ltd
2436,Butterworth-Heinemann
2437,Butterworths
2438,Buy Books on the Web Com
2439,Buy Books on the web.com
2440,Buzzcity Press
2441,Bvd Publishing
2442,Byeway Books
2443,Byrenlee Pr
2444,Byron Preiss
2445,Byron Preiss Multimedia Books
2446,"Byron Preiss Visual Publications, Inc."
2447,Byte Books
2448,BÃ?Â¤renreiter
2449,BÃ?Â¤renreiter Verlag
2450,BÃ?Â¶hlau Wien
2451,BÃ?Â¶hlaus Nachfolger
2452,BÃ¤renreiter
2453,BÃ¶hlau
2454,BÃ¶hme und Erb
2455,C  D Intl
2456,C  T Pub
2457,C A K Publishing
2458,C Bertelmann
2459,C D G Books Canada Inc
2460,C H Resources
2461,C a Pub Ink
2462,C&amp;C Books
2463,C&amp;D International
2464,C&amp;T Publishing
2465,C. B. Slack
2466,C. Bange GmbH  Co KG
2467,C. Bass' Ripped Enterprises
2468,C. Baxter Photography
2469,C. Bertelsmann
2470,C. Bourgois
2471,C. BretÃ?Â©cher
2472,C. Derevitzky
2473,C. Dressler
2474,C. H. Belding
2475,C. Hanser
2476,C. Holloway Books
2477,C. Hurst  Co (Publishers) Ltd
2478,C. Kaiser
2479,C. R. Gibson Co
2480,C. Raggio
2481,C. Reality Publishers
2482,C. Scribner's Sons
2483,"C. W. Daniel Company, Ltd."
2484,C. Weise Verlag
2485,C.E. Merrill Pub. Co
2486,C.E. Tuttle
2487,C.E. Tuttle Co
2488,C.F. MÃ¼ller
2489,C.H. Beck
2490,C.H. Beck Verlag
2491,C.H.Beck
2492,C.R. Gibson Co
2493,C.R. Gibson Company
2494,C.V. Mosby
2495,CAMRA (Campaign For Real Ale) Books
2496,CBI Pub. Co
2497,CCC Publications
2498,CCH Incorporated
2499,CCI Books
2500,"CDA Press, San Francisco"
2501,CDG Books Canada
2502,CDS Books
2503,CDs Books
2504,CEDAG
2505,CELESA (Centro de exportacion de Libros Espanoles)
2506,CEP Press
2507,"CG Star, L.L.C."
2508,CGI101.com
2509,CLE International
2510,CLW Communications/AMG
2511,CMI Press
2512,CMT
2513,CNC Publishing
2514,COMERCIAL GRUPO ANAYA
2515,CP Publications
2516,CPA Books
2517,CPH
2518,CPM/Us Manga Corps
2519,CPNB
2520,CQ Press
2521,CQ Products
2522,CRC Pr
2523,CRC Pr I Llc
2524,CRC Press
2525,CRC Pubns
2526,CRCS Publications
2527,CS Ediciones
2528,CSA Press
2529,CSA Telltapes
2530,CSF Publishing
2531,CSS Publishing Company
2532,CTW Books
2533,CWLA Press (Child Welfare League of America)
2534,Cachet Products Inc
2535,Cachuma Pr
2536,Caddo Gap Press
2537,Cadogan Books
2538,Cadogan Guides
2539,Caedmon
2540,Caedmon Childrens Books
2541,Caillech Pr
2542,Caillech Press
2543,Caitlin Press
2544,Caja de Ahorros Municipal de San SebastiÃ¡n
2545,Caja de Ahorros Provincial de GuipÃºzcoa
2546,Cajun Bayou Distributors &amp;
2547,Cake Eaters Inc
2548,Cal-Earth Press
2549,Calder Publications
2550,California Arboretum Foundation
2551,California Classics Books
2552,California Cookbook Company
2553,California Dept Parks &amp;
2554,California Dept of Education
2555,California Journal Press
2556,Calima Ediciones
2557,Call Center Press
2558,Callaway
2559,Callaway Editions
2560,Callawind Pubns Inc
2561,Callenbach
2562,CallieBeth Publishing Co.
2563,Calligram
2564,Calliope Publishing
2565,Calmann-LÃ?Â©vy
2566,Calmann-LÃ©vy
2567,Calochortus Books
2568,Calouste Gulbenkian Foundation
2569,Calvary Pr
2570,Calwer
2571,Calyx Books
2572,Cambo Publishing
2573,Cambridge Univ Pr
2574,Cambridge Univ Pr (T)
2575,Cambridge Univ Pr (Txp)
2576,Cambridge Univ*@ Press
2577,Cambridge University Press
2578,Camden Court Pub Inc
2579,Camden Court Publishers Inc.
2580,Camden House
2581,Camden House (NY)
2582,"Camden House Publishing (Ontario, CA)"
2583,Camden Press
2584,Camelot Pub. Co.
2585,Cameo Publications
2586,Camera Graphic Press
2587,Cameron  Company
2588,Camex Books Inc
2589,Camille
2590,Camille Yorkey
2591,Caminho
2592,Camino Bay Books
2593,Camino Books
2594,Campaign for Press  Broadcasting Freedom
2595,Campana
2596,Campbell Hall Press
2597,Campbell House Museum Press
2598,Campo das Letras
2599,Campus Fachbuch
2600,Campus Life Books
2601,Campus Sachbuch
2602,CampusPress
2603,Camunia
2604,Canaan Home Communications.
2605,Canadian Broadcasting Corporation (CBC Audio)
2606,Canadian Institute of Chartered Accountants
2607,Canadian Institute of Ukrainian Studies Press
2608,Canadian Library Association
2609,Canadian Museum of Civilization/Musee Canadie
2610,Canadian Plains Research Center
2611,Canadian Scholars Pr
2612,Canadian Scholars Press
2613,Canal and Stamperia Editorial
2614,Cancer Book House
2615,CancerInfo Press
2616,Candle Books
2617,Candlelight Press.
2618,Candlepower
2619,Candlewick Pr
2620,Candlewick Press
2621,Candlewick Press (MA)
2622,Candy Cane Press
2623,Cane Hill Press
2624,Canfield Press
2625,Cangey Pub Co
2626,Cannon Graphics
2627,Cannon International
2628,Canon Press
2629,Canongate
2630,Canongate Books
2631,Canongate Books Ltd
2632,Canongate Crime
2633,Canongate International
2634,Canongate Press
2635,Canongate Pub.
2636,Canopy Productions
2637,Cantaro Editores
2638,Canter  Associates
2639,Canterbury Press
2640,Canterbury University Press
2641,Cantilever Books
2642,Cantos International
2643,Cantwell Hamilton Pr
2644,Cantwell-Hamilton Press
2645,Cantz Editions
2646,Canvasback Press
2647,Canyon Publishing
2648,Canyon Ranch Enterprises
2649,Cap  Compass
2650,Capall Bann Publishing
2651,Cape
2652,Cape Foundation Publications
2653,"Cape, Jonathan"
2654,Capella
2655,Capital Books (VA)
2656,Capital Distributing Co
2657,Capital Research Center
2658,Capital Transport Publishing
2659,Capitol Hill Press
2660,Cappelen
2661,Capra Press
2662,Capricornus Enterprises
2663,Capstan Press
2664,Capstone
2665,Capstone High-Interest Books
2666,Capstone Press
2667,Capstone Publishing
2668,Capstone Publishing Ltd
2669,Captus Pr
2670,"Caratzas, Aristide D"
2671,Carcamo
2672,Carcanet
2673,Carcanet Pr
2674,Carcanet Press Ltd
2675,"Carcanet Press, Ltd."
2676,Cardinal Books
2677,Cardinal House Publishing
2678,Cardoza
2679,Cardoza Pub
2680,Cardoza Publishing
2681,Career Pr
2682,Career Pr Inc
2683,Career Press
2684,Career Skills Pr
2685,Career Track Pubns
2686,Careertrack Inc.
2687,"Carewise, Incorporated"
2688,"Carhil Ventures, LLC"
2689,Caribe Betania
2690,Carico Press
2691,Carl Gerber Verlag
2692,Carl Hanser
2693,Carl Hanser Verlag
2694,Carl Vinson Institute of Government
2695,Carlisle Press - Walnut Creek
2696,Carlsbad Caverns Guadalupe
2697,"Carlsbad Caverns, Natural History Association"
2698,Carlsen
2699,Carlsen Verlag GmbH
2700,Carlsen Verlag Gmbh
2701,Carlsons' Publishing
2702,Carlton
2703,Carlton Books
2704,Carlton Books Limited
2705,Carlton Books Ltd
2706,"Carlton Books, Ltd."
2707,Carlton Pr
2708,Carlton Press Corporation
2709,Carlton Publishing Group
2710,Carmichael  Carmichael
2711,Carnegie Endowment for International Peace
2712,Carnegie Mellon University
2713,Carnegie Pub.
2714,Carnegie Publishing
2715,Carnegie-Mellon University Press
2716,Carol A. Reid
2717,Carol Field Dahlstrom Incorporated
2718,Carol Pub Group
2719,Carol Pub Grp/kensington
2720,Carol Pub. Corp.
2721,Carol Pub. Group
2722,Carol Publishing Corporation
2723,Carole Gerber
2724,Carolina Academic Press
2725,Carolina Moon Publishing Company
2726,Carolina Wren Pr
2727,Carolina Wren Press
2728,Carolrhoda Books
2729,Carousel Press
2730,Carpenters Pr
2731,Carrier Pigeon
2732,Carroll  Brown
2733,Carroll  Graf
2734,Carroll  Graf Publishers
2735,Carroll  Graf Publishing
2736,Carroll Graf
2737,Carroll Graf Publishers
2738,Carson Dellosa Pub Co Inc
2739,Carswell
2740,Carta  the Jerusalem Post
2741,Cartographia Kft
2742,Cartoon Books
2743,Cartwheel Books
2744,Cartwheel Books (Scholastics)
2745,Casa Amarela
2746,Casa Dana Books
2747,"Casa Graphics, Inc."
2748,Casablanca Press
2749,Casagrande
2750,"Cascade Pass, Inc."
2751,Casdec Limited
2752,Casemate Pub
2753,Casemate Publishers and Book Distributors
2754,Casenotes Pub Co
2755,Casenotes Publishing Company
2756,Cassandra Press
2757,Cassell
2758,Cassell  Co (A member of the Orion Publishing Group)
2759,Cassell Australia
2760,Cassell Illustrated
2761,Cassell Plc
2762,Cassell military
2763,Cassell reference
2764,Cassell's
2765,Castalia
2766,Castalia Publishing Company
2767,Castelvecchi
2768,Casterman
2769,Casterman Editions
2770,Casterman French
2771,Castillo International
2772,Castle Books
2773,Castle Communications
2774,Castle Pub
2775,Castle Street Mysteries
2776,Castleberg
2777,Castor  Pollux
2778,Castor astral
2779,Cat's-paw Press
2780,Catalyst Books
2781,Catalyst Press
2782,Catbird Press
2783,Catedra Catedra
2784,Catesco Press
2785,Cathay
2786,Cathay Books
2787,"Cathie, Kyle Limited"
2788,Catholic Answers
2789,Catholic Book Pub Co
2790,Catholic Book Publishing Company
2791,Catholic University of America Press
2792,Cato Institute
2793,Cauldron Publications
2794,Causeway Press
2795,Caxton House Pub Co
2796,Caxton Press
2797,Caxton Printers
2798,Caxton Printers Ltd
2799,Caxton Publishing
2800,Ccc Pubns
2801,Cdiciones Universal
2802,Ce Shore Publishing Company
2803,Ceac
2804,Cecilie Dressler Verlag
2805,Cedar Creek Press
2806,Cedar Fort
2807,"Cedar Fort, Inc"
2808,Cedar Hill Pub
2809,Cedar Mill Publishing
2810,Cedarwinds
2811,Cedco Pub
2812,Cedco Publishing Company
2813,Cedel
2814,Celadon Press
2815,Celebrating Excellence
2816,Celebrity Books
2817,Celeste
2818,Celestial Arts
2819,Celestial Wellspring
2820,Cellar Book Shop
2821,Celo Valley Books
2822,Celtic Design Co
2823,Celtic Design Company
2824,Cemetery Dance Publications
2825,Cemetery Dance Pubns
2826,Cenizas Books
2827,Cenografix
2828,Centaur Press
2829,Centax Books  Distribution
2830,Centax Books and Distribution
2831,Centax Distribution
2832,Centennial Press
2833,Center
2834,Center Point
2835,Center Point Large Print
2836,Center Point Publishing
2837,Center for Appalachian Trail Studies
2838,Center for Applied Research in Education
2839,Center for Chinese Studies Publications
2840,"Center for Christian Leadership, Gracela"
2841,Center for Civic Education
2842,Center for Corporate Health
2843,Center for Enviormental Educ
2844,"Center for Middle Eastern Studies, The University of Texas at Austin"
2845,Center for New Thinking
2846,Center for Peace and Healing
2847,Center for Study of Responsive Law
2848,Center for Touch Drawing
2849,CenterWatch
2850,Centering Corporation
2851,Centerpunch Press
2852,Central Committee for Conscientious Objectors
2853,Central Conference of American Rabbis
2854,Central Park Media
2855,Central Publishing Ltd
2856,Central Queensland University Press
2857,"Centre Delta : diffusion, A. Colin"
2858,Centre Georges Pompidou
2859,Centre National de la Photographie
2860,Centre Unesco de Catalunya
2861,"Centre for South-East Asian Studies, James Cook University of North Queensland"
2862,Centro Editor de AmÃ©rica Latina
2863,Centro de Esportacion de Libros Espanoles
2864,Centro de la Cultura Canaria
2865,Centrum
2866,Centurion Books Ltd
2867,Centurion Publishing  Marketing
2868,Century
2869,Century Hutchinson (A Division of Random House Group)
2870,Ceramics Monthly
2871,Ceres Press
2872,Cerf
2873,CeskÃ½ spisovatel
2874,Chad Foster
2875,Chain Sales
2876,Chain Sales Marketing
2877,Chalice Press
2878,Chalksoft
2879,Chambers
2880,Chambers Harrap Publishers Ltd
2881,Champ Vallon
2882,Champion Pr Ltd
2883,Champion Press Ltd
2884,Championship Books  Video Productions
2885,Champs ElysÃ?Â©es
2886,Champs-ElysÃ?Â©es - Le Masque
2887,Chancellor
2888,Chancellor Press
2889,Chandler  Sharp Pub
2890,Chandler  Sharp Publishers
2891,Chandler House Press
2892,Chandler and Sharp Publishers
2893,"Chandler-Smith Publishing House, Incorporated"
2894,Channel 4
2895,Channel 4 Books
2896,Channel 4 books
2897,Channeling Spirits Books
2898,Channing L Bete Co
2899,Chantecler
2900,Chaosium
2901,"Chaosium, Inc."
2902,Chapel  Croft Publishing
2903,Chapel Hill Pr
2904,Chapelle
2905,"Chaplaincy Division, Correctional Service of Canada"
2906,Chapman  Hall
2907,Chapman  Hall/CRC
2908,"Chapman Billies, Inc."
2909,Chapmans
2910,Chapters Pub. Ltd.
2911,Chardon Press
2912,Chariot Books
2913,Chariot Family Pub
2914,Chariot Victor Pub
2915,Chariot Victor Publishing
2916,Charis Books
2917,Charisma House
2918,Charismatic Renewal Services
2919,Charles C Thomas Pub Ltd
2920,"Charles C. Thomas, Publisher Ltd"
2921,Charles E Tuttle Co
2922,Charles E. Tuttle Co.
2923,Charles H Kerr Pub Co
2924,Charles H. Kerr Publishers Company
2925,Charles Press Pubs
2926,Charles Publishing Company
2927,Charles Redd Center for Western Studies
2928,Charles River Books
2929,Charles River Media
2930,Charles Scribner's Sons
2931,Charles T. Banford Company
2932,Charles Tuttle Co.
2933,Charlesbridge Publishing
2934,Charlotte Mason Research  Supply
2935,Charlton Pr
2936,Charnwood
2937,Charon Press
2938,Charta
2939,Charter Books
2940,Chartwell Books
2941,Chatham House Publishers
2942,Chatham Publishing
2943,Chattahoochee Publishers
2944,Chatterbox Inc
2945,Chatto  Windus
2946,Chatto Windus
2947,Chatto and Windus
2948,Checkboard Press
2949,Checker Book Publishing Group
2950,CheckerBee Publishing
2951,Checkerbee Pub
2952,Checkerboard Books
2953,Checkerboard Pr
2954,Checkerboard Press
2955,Checkmark Books
2956,Cheek
2957,Cheers
2958,Cheetah Express Professional Achievement Seri
2959,Chelsea Green Pub Co
2960,Chelsea Green Pub. Co
2961,Chelsea Green Publishing Company
2962,Chelsea House
2963,Chelsea House : distributed by Scribner Book Companies
2964,Chelsea House Pub
2965,Chelsea House Pub (L)
2966,Chelsea House Publications
2967,Chemnitzer Verlag
2968,Cheng  Tsui
2969,Cherbo Pub. Group
2970,"Cherbo Publishing Group, Inc."
2971,Cherche Midi Ã©diteur
2972,Cherche midi
2973,Cherokee Pubns
2974,Cherrea Lea Books Ltd
2975,Cherry Hill Pub
2976,Cherry Lane Music
2977,Cherry Red
2978,Cherry Tree Publications
2979,Cherubino Press
2980,Chesapeake Moon Publishers
2981,Cheshire House Books
2982,Chess Enterprises
2983,Chestnut Hill Publishing
2984,Chevron Chemical Co
2985,Cheyne
2986,Chicago Historical BookWorks
2987,Chicago Historical Society
2988,Chicago Review Press
2989,Chicago Spectrum Press
2990,Chick Pub
2991,Chick Publications
2992,Chick Springs Pub
2993,Chick Springs Publishing
2994,Chicken House
2995,Chicken Skin Pr
2996,Chicken Soup Press
2997,Child  Family Press
2998,Child Management
2999,Child Study Press
3000,Child's Play International Ltd
3001,Child's World
3002,Child's World Inc
3003,Childe Thursday
3004,Childerset
3005,Children's Book Press (CA)
3006,Children's Book-of-the-Month Club
3007,Children's Choice Publications Ltd
3008,Children's Classics
3009,Children's Oncology Publications
3010,Children's Press
3011,Children's Press (CT)
3012,Children's Television Workshop
3013,Childrens Press
3014,Childrens Television Workshop
3015,Childs World
3016,Chilton Book Co
3017,Chilton Book Company
3018,Chilton Co
3019,Chilton Designs Publishers
3020,Chilton/Haynes
3021,Chimera Publishing
3022,China Books  Periodicals
3023,China Books  Periodicals Inc.
3024,China Grove
3025,Chinese University Press the Chinese Universi
3026,Chipmunkapublishing
3027,Chiron
3028,Chiron Publications
3029,Chiropractic Journal
3030,Chitra Publications
3031,Chivers
3032,Chivers Audio Books
3033,Chivers Large Print
3034,Chivers North Amer
3035,Chivers North America
3036,Chivers Press
3037,Chivers Press Ltd
3038,Chivers Word for Word Audio Books
3039,Chockstone Press Inc
3040,"Choice Publishing, Incorporated"
3041,Choices Pr
3042,Choix Pub
3043,Chordant Distribution
3044,Chosen Books
3045,Chosen Books : distributed by F. H. Revell Co
3046,Chosen Books : distributed by Word Books
3047,Chosen Books Pub. Co
3048,Chosen Books; distributed by F. H. Revell
3049,Chouette Editions
3050,Chris Howkins
3051,Chris van Rensburg Publications
3052,Christ for the Nations
3053,Christadelphian Advancement Trust
3054,Christian Bourgois
3055,Christian Fellowship Publishers
3056,Christian Focus Publications
3057,Christian Herald Books
3058,Christian Herald House
3059,Christian Heritage Pubns
3060,Christian Life Services
3061,Christian Literature Crusade
3062,Christian Medical Society
3063,Christian Mother Goose Book Co
3064,Christian Pub. Services
3065,Christian Publications
3066,Christian Publishing Services
3067,Christian Pubns
3068,Christian Research
3069,Christian Science Publishing
3070,Christian de Bartillat
3071,Christiana-Verlag
3072,Christians
3073,Christians Reviving America's Values
3074,Christopher Books
3075,Christopher-Gordon Publishers
3076,Christophers
3077,Chronicle Books
3078,Chronicle Books (J)
3079,Chronicle Books Llc
3080,Chronicle Books+
3081,Chronicle Communications
3082,Chronik Verlag im Bertelsmann LEXIKON Verlag GmbH
3083,Chronimed Publishing
3084,Chrysalis Books
3085,Chubasco Publishing
3086,Chuck Coburn
3087,Church Council of Greater
3088,Church at Cane Creek
3089,Church of Jesus Christ of
3090,Churchill Livingstone
3091,Cicerone Press
3092,Cilgwyn Publications / Greencroft Books
3093,Cima
3094,Cima Books
3095,Cimarron Books
3096,Cimino Publishing Group
3097,Cinco Puntos Press
3098,Cinema 21 Books
3099,Cinnabar Pr
3100,Circe
3101,Circle m Pubns
3102,Circlet Pr
3103,Circlet Press
3104,Circustuff
3105,Cire Corporation
3106,Cisco Press
3107,Cisco Systems
3108,Citadel
3109,Citadel Pr
3110,Citadel Press
3111,Citadel Stars Book
3112,Citadel Trade
3113,City  Co
3114,City Lights
3115,City Lights Books
3116,City Lights Publishers
3117,City Miner Books
3118,City Reports Community &amp;
3119,City Visitor Pubns
3120,City and Company
3121,Civetta Press
3122,Civitas
3123,Civitas Book Publisher
3124,Claassen
3125,Claassen Verlag
3126,Clairview Books
3127,Clara Fyer Books
3128,Clara Pub
3129,Clare Coss
3130,Clarendon Press
3131,Claretiana
3132,Claridad
3133,Clarin
3134,Clarion Books
3135,Clarity of Vision Publishing
3136,Clark  Miles Publishing
3137,Clark City Press
3138,Clarke (Nigel J) Publications
3139,"Clarke, Irwin"
3140,Clarkson N Potter Publishers
3141,Clarkson Potter
3142,Clasicos Espanoles
3143,Classic Books
3144,Classiques Francais
3145,Claude Lefrancq Ã?Â©diteur
3146,Claudius
3147,Clear Creek Press (AR)
3148,Clear Light Books
3149,Clear Light Pub
3150,Clear Light+publishers
3151,Clear View Press
3152,Clearbridge Publishing
3153,Clebe McClary Evangelistic Association
3154,Cleis Press
3155,Clemmer Group Press
3156,Cleveland State Univ Poetry Center
3157,Cleveland State University Poetry Center
3158,Client Distribution Services
3159,Cliff Street Books
3160,Cliffhanger Pr
3161,Cliffhanger Press
3162,Cliffs Notes
3163,Climb Back Inc
3164,Clinescot Publishing
3165,Clo Iar-Chonnachta
3166,Clocktower Books
3167,Close Up Foundation
3168,Clothespin Fever Press
3169,"Cloud Ten Creations, Incorporated"
3170,Cloud Ten Pictures Inc
3171,Cloudbank Creations
3172,Clove Publications
3173,Clover Park Pr
3174,Clsa Ltd
3175,Clutter Fairy Publishing
3176,Clymer Publications
3177,Clymer Publishing
3178,Coach House
3179,Coach House Pr
3180,Coach House Press
3181,Coachlight Press
3182,Coast and Pines Press
3183,Coastal Carolina Press
3184,Coastal Plains Publishing Company
3185,Coastal Villages Press
3186,Cobble  Mickle Books
3187,Cobblehill Books
3188,Cobden Press
3189,Cobden Trust : MIND
3190,Cockle Cove Pr
3191,Cocolo Editorial
3192,Coconut Info
3193,Code Break Books
3194,Codex
3195,Codex Books
3196,Codhill Press
3197,Coffee  Cale
3198,Coffee House
3199,Coffee House Press
3200,Coffee Time Pubns
3201,Coffee and Cale
3202,Cold Noses
3203,Cold Spring Harbor Laboratory Press
3204,Cold Spring Press
3205,Cole Group
3206,Coleccion Austral
3207,Coleman Publishing Inc
3208,Coles Notes
3209,Coles Pub Group Ltd
3210,Colin Baxter Photography
3211,Colin Dawes Studios
3212,Colin Smythe
3213,Colin Smythe Ltd
3214,Collage
3215,Colleccion Millenium
3216,Collectible First Editions
3217,Collector Books
3218,Collectors Guide Publishing Inc
3219,Collectors Press
3220,"Collectors Reprints, Inc."
3221,Collectors' Information Bureau
3222,Collectors' Publishing Co Inc
3223,College Board
3224,College Press Pub. Co
3225,"College Survival, Incorporated"
3226,Collier
3227,Collier Books
3228,Collier Macmillan
3229,Collier Macmillan Canada
3230,Collin
3231,Collins
3232,Collins  Brown
3233,Collins  Brown Ltd.
3234,Collins  Harvill Press
3235,Collins : Harvill Press
3236,Collins Crime
3237,Collins Dove
3238,Collins Educational
3239,Collins Harvill
3240,Collins Harvill Pr
3241,Collins Liturgical Books
3242,Collins Pr
3243,Collins Press
3244,Collins Pub San Francisco
3245,Collins Publications
3246,Collins Publishers
3247,Collins Voyager
3248,Collins [for] the Crime Club
3249,Collins for the Crime Club
3250,CollinsRef
3251,Collinswillow
3252,Colonial Williamsburg Foundation
3253,"Colophon Corporation, the"
3254,Colorado Associated University Press
3255,Colorado Leisure Sports
3256,Colorado Trail Foundation
3257,Colour Energy Corporation
3258,Colour Image
3259,Colour Library Books
3260,Colour Library International
3261,Colton Book Imports
3262,Columba Press
3263,Columbia House
3264,Columbia Music Company
3265,Columbia Univ Pr
3266,Columbia University Press
3267,Columbus Books
3268,Columna
3269,Columna Edicions
3270,"Columna, Edicions de l'Eixample"
3271,ColÃ©gio de Lamego
3272,"Combel Ediciones Editorial Esin, S.A."
3273,Combined Books
3274,Combined Publishing
3275,Comet
3276,"Comex Systems, Incorporated"
3277,Comico the Comic Co
3278,ComicsLit
3279,ComicsOne
3280,ComicsOne Corporation
3281,Commissie voor de Collectieve Propaganda van het Nederlandse Boek
3282,Committee to Protect Journalists
3283,Common Courage Press
3284,Commonwealth Books Inc
3285,Commonwealth Editions
3286,Commonwealth Publications
3287,Communacad
3288,Commune-a-Key Pub.
3289,Communication Center
3290,Communications Plus
3291,Communications Research
3292,"Communications and Public Affairs, Dept. of Justice Canada"
3293,Communio Books
3294,Community Communications Corp
3295,Community Communications Inc.
3296,CompCare
3297,CompCare Publications
3298,CompCare Publishers
3299,Compact
3300,Compact Classics Inc
3301,Companhia Das Letras
3302,Companhia Melhoramentos de Sao Paulo-Industrias de Papel
3303,Companhia das Letras
3304,Companion Press
3305,"Companion Press (Laguna Hills, CA)"
3306,Company's Coming Publishing
3307,Compari
3308,Compass America Guides
3309,Compass American Guides
3310,Compass Books
3311,Compass Point Books
3312,Compassion Books
3313,Compcare Publications
3314,Compendium
3315,Compendium Publishing  Communications
3316,Competitiveness Centre of Hudson Institute
3317,Compusoft Pub
3318,Compute
3319,Computer Book Division/Simon  Schuster
3320,Computer Composition
3321,Computer Science Pr
3322,Computer Science Press
3323,Comstock Bonanza Press
3324,Comstock Book Distributors
3325,Comstock Publishing
3326,Con-Psy Publications
3327,Conari Press
3328,Concello de Ourense
3329,"Concept Systems, Incorporated"
3330,Concept Technologies
3331,Concept-Therapy Institute
3332,"Concerned Publications, Incorporated"
3333,Concordia Pub House
3334,Concordia Pub House (J)
3335,Concordia Pub. House
3336,Concordia Publishing House
3337,Concordia Publishing@house
3338,Conde Nast Books
3339,Condor
3340,ConfederaciÃ³n EspaÃ±ola de Gremios y Asociaciones de Libreros (C.E.G.A.L.)
3341,Conference
3342,Confluence Press
3343,Congdon  Lattes : distributed by St. Martin's Press
3344,Congdon  Weed
3345,Congressional Quarterly Books
3346,Conjelco
3347,Connaught
3348,Connections Book Publishing
3349,Connie Reisenbigler
3350,Conran
3351,Conran Octopus
3352,Conscious Living Publications
3353,Consecrated Press
3354,"ConsejerÃ­a EducaciÃ³n y Cultura, DirecciÃ³n General de AcciÃ³n Cultural"
3355,Consejo Nacional para la Cultura y las Artes
3356,Consignment  Thrift Store Publishing
3357,Consolidated Book Publishers
3358,Consolidated Press International
3359,Consortium
3360,Consortium Book Sales  Dist
3361,Consortium Book Sales  Dist (J)
3362,Consortium Book Sales  Distribution
3363,Consortium of Collective
3364,Constable
3365,Constable Robinson
3366,Constable and Company Ltd
3367,Constable and Robinson
3368,"Consultant Press, Ltd."
3369,Consumer Guide Books
3370,Consumer Press
3371,Consumer Reports
3372,Consumer Reports Books
3373,Consumers Union
3374,Consumers Union U.S.
3375,Consumers Union U.S. Inc
3376,Contact
3377,Contemporary Arts Museum
3378,Contemporary Books
3379,Contemporary French Fiction
3380,"Contemporary Media, Incorporated"
3381,Contemporary Perspectives Inc.
3382,Contender Books
3383,Contender Entertainment Group
3384,Context Books
3385,Context Publications
3386,Contexto
3387,Continental Book Co
3388,Continental Book Co Inc
3389,Continental Book Company
3390,Continental Press
3391,Continental Sales
3392,Continuing Education Press
3393,Continuum
3394,Continuum International Publishing Group
3395,Continuum Intl Pub Group
3396,Control Data Publishing
3397,Conundrum Press
3398,Convenant Communications
3399,Convent Hill Publishing
3400,Conversations with Millionaires LLC
3401,Conway Maritime Press
3402,Cook Communications
3403,Cook Communications Ministries
3404,Cook Communications Ministries (CO)
3405,Cook Communications Ministries (J)
3406,Cook Communications Ministries International
3407,Cook Communications Ministries intl
3408,Cookbook Resources
3409,Cookbooks
3410,Cookbooks Cookbooks Cookbooks Cookbooks
3411,Cool Hand Communications
3412,Cool Hand Communications Inc.
3413,Cool Springs Press
3414,Cooper Pub
3415,Cooper Square Press
3416,Cooper Square Publishers
3417,Cooper-Hewitt Museum of
3418,Coordination Group Publications Ltd
3419,Copernic
3420,Copernicus Books
3421,Copp Clark
3422,Copp Clark Pitman
